Id,Predicted
1000956,1.3669535
1007209,0.0
1016681,2.987725
1043763,0.36322105
1051472,1.5650289
1052022,2.5768774
1055804,3.4330673
1058135,3.2405512
1070812,3.1180294
1079608,2.331558
1082972,0.0057427045
1098235,0.7184362
1103912,1.9580883
1114602,1.5767436
1121365,2.765213
1152380,2.996003
1155461,1.3038145
1156727,2.8056045
1161299,2.8903756
1184175,3.3058395
1188371,0.92451215
1193117,1.6185197
1194077,2.2182977
1202948,1.2513621
1205744,0.0039544594
1216162,0.29042938
1224625,2.9358268
1225942,1.3198402
1226073,1.5992543
1234936,2.199535
1237586,2.6841614
1241757,3.0214877
1248091,0.0017992056
1251721,3.219205
1254366,1.0655755
1257455,0.49608353
1257748,1.656595
1262087,0.0022047395
1266214,0.0025907066
1272518,2.2520618
1290640,1.2892144
1293084,0.47146988
1299556,2.4367247
1301242,2.7992387
1302820,1.5505062
1317369,1.709518
1322220,1.2516873
1324193,1.5741786
1328947,1.0425761
1331405,2.784041
1337336,1.2792501
1358770,1.1002525
1366237,3.6077495
1366508,1.7454971
1372131,2.9812796
1377303,1.3086663
1383977,2.9221597
1390236,1.5131508
1391525,0.00049642543
1392832,0.51953864
1399773,1.7809418
1405699,1.345647
1408897,1.3980517
1410742,1.810036
1416067,0.85976446
1438849,1.1826297
1453862,0.40040419
1474472,1.4491965
1474713,0.57995546
1476724,2.8460917
1485872,0.6970538
1490858,0.4586246
1498557,2.4868739
1517072,2.9125457
1519045,1.5636894
1524124,3.1717973
1524169,0.6187056
1527506,1.4782932
1534047,1.3632234
1535667,1.5734173
1537945,3.1187797
1545330,1.436033
1554410,1.4265136
1554437,1.404009
1559379,0.39419264
1559967,1.3043015
1566207,0.4010038
1578722,0.0016369259
1589589,0.00783818
1594764,3.1584725
1603585,1.5045679
1615248,1.27152
1619874,2.9418294
1627681,2.323518
1641635,1.2835873
1642392,2.6211061
1646852,1.3378781
1651650,2.0819778
1653313,1.2570671
1664358,1.3229508
1685486,1.3247042
1687602,0.50225466
1689425,0.0034961759
1706364,2.333799
1720082,0.006064406
1728025,3.1114423
1744729,0.01047424
1753089,2.6059303
1755030,1.4547359
1756607,2.4995503
1759709,1.3558112
1773067,1.1478993
1781562,0.0
1784188,1.6689234
1789451,1.414489
1792670,2.9472027
1798285,0.006399883
1815460,2.6667247
1817178,0.0
1823030,2.686592
1832742,1.7150817
1833420,0.0
1839916,1.5066265
1856370,1.7303754
1869385,2.5737774
1882418,1.2727447
1882477,1.0265809
1886486,1.117788
1891609,2.139274
1907401,2.0305552
1908916,1.2457691
1908922,1.2628965
1914315,0.0065829554
1921086,2.2602081
1925134,1.6587933
1934709,2.8433015
1954287,1.9798539
1963808,2.7094169
1967089,1.9091455
1969728,1.8853351
1974981,0.01649322
1982436,1.2518128
1987858,2.6662028
1997149,1.9217955
2000194,1.6801599
2001656,2.6039503
2005533,3.0204558
2028630,0.0029792753
2029695,0.011837911
2034074,1.2750254
2034623,1.3798798
2060968,1.3901991
2075338,2.5630267
2076518,1.4040797
2081584,2.2222052
2084947,1.2198188
2095436,0.005700797
2113110,1.4754725
2127303,0.00198399
2129391,1.4289608
2131750,0.6295749
2137855,1.4059967
2138932,1.3800789
2147987,1.2571001
2152684,2.1372032
2153629,2.5112612
2155375,0.0
2161265,0.015332
2166344,2.3545134
2171716,1.3703575
2203981,1.3458081
2215604,1.3191655
2222704,1.2729189
2235146,1.3426812
2241229,1.4899452
2267839,0.00537719
2268401,3.3124392
2274525,0.0
2280114,0.0009146696
2282035,2.688653
2283459,0.89232224
2288150,3.021715
2298515,1.6723738
2299386,0.0038946746
2304386,1.7017624
2310227,1.0752084
2331237,0.0
2334742,1.3751647
2340431,3.0702534
2345851,1.3381698
2346917,1.3614937
2359681,1.7472595
2369052,1.6287445
2385483,0.005275969
2386101,1.899888
2401695,0.0030008159
2402696,1.6211979
2403915,1.7593598
2413326,0.0016750651
2420505,1.4192522
2431592,1.8530627
2445360,2.6751978
2458604,1.2562121
2466353,3.0421832
2466743,1.6526982
2471279,1.3480835
2477543,1.6816094
2487887,2.7612667
2488845,2.6893337
2493273,0.9425515
2497372,1.6172781
2500326,0.0061313612
2500634,0.745259
2510364,2.9017856
2532657,2.5137455
2548602,0.0051990272
2551405,0.0043576118
2578851,2.6115854
2612410,1.4369584
2612674,1.6826662
2613250,0.0068091713
2620117,2.6706672
2631764,3.623966
2637888,1.3539603
2640528,1.4286445
2645020,1.4689687
2667640,0.008288436
2679287,1.6133004
2695295,1.4526187
2703407,0.4676055
2711789,1.2909242
2721313,0.9819059
2735861,2.781148
2790800,1.3389313
2795710,1.463403
2800638,2.040962
2810387,0.47262278
2824400,0.67608577
2824799,0.009808108
2830459,1.384676
2830932,1.6641176
2846336,0.003667857
2852303,1.5416309
2863772,2.045014
2870353,2.208957
2881967,0.90880346
2882173,1.8130672
2900156,1.4780039
2901355,2.5102782
2905923,2.4028616
2914841,1.8285487
2921722,1.3560594
2922817,2.2172644
2928637,1.2593318
2928977,0.0047477726
2929845,2.8784752
2934473,2.171022
2943410,1.5081722
2950081,1.6807301
2950521,1.4716952
2951152,2.5990455
2969404,1.373433
2990133,1.6187502
2997795,2.5755503
3001888,2.108943
3015126,1.2500254
3021730,1.3853195
3024917,0.58999515
3025532,1.3666534
3028871,1.620258
3033142,0.7556655
3035109,2.948057
3039602,1.4136848
3040508,1.2420833
3043969,1.2766278
3044370,1.4210612
3045907,0.002576266
3047101,1.6027808
3053259,1.7446641
3054568,3.2698267
3064421,0.2619029
3071093,2.1920612
3071936,0.005462258
3094638,2.051352
3099235,1.5036224
3100631,1.9588794
