Id,Predicted
1000956,1.655494
1007209,0.013012171
1016681,1.8228338
1043763,0.37510705
1051472,1.8636942
1052022,1.775455
1055804,2.2375607
1058135,2.5050914
1070812,2.4788103
1079608,1.9084496
1082972,0.21102023
1098235,1.8228917
1103912,1.8627207
1114602,2.0665214
1121365,2.088192
1152380,2.4104474
1155461,1.8202655
1156727,1.9478278
1161299,2.208375
1184175,1.8825219
1188371,1.8150952
1193117,1.7052536
1194077,2.0685792
1202948,2.0632257
1205744,0.22065473
1216162,0.39588046
1224625,1.720532
1225942,1.873626
1226073,1.8397641
1234936,2.1253715
1237586,1.9175808
1241757,2.5401063
1248091,0.20396423
1251721,1.5734773
1254366,2.0789714
1257455,0.36030436
1257748,1.7104194
1262087,0.0075104237
1266214,0.034715414
1272518,2.044481
1290640,1.9366457
1293084,0.39815092
1299556,1.5393939
1301242,2.0994697
1302820,1.9118588
1317369,2.1259327
1322220,1.9852753
1324193,2.0276864
1328947,2.084339
1331405,2.085103
1337336,2.1231499
1358770,1.9679799
1366237,2.04023
1366508,1.9350367
1372131,2.4604893
1377303,2.5960755
1383977,1.8028553
1390236,2.1583662
1391525,0.28232527
1392832,1.1696942
1399773,1.8553529
1405699,1.86426
1408897,1.9314559
1410742,2.3359363
1416067,1.2363873
1438849,1.5204921
1453862,0.34781957
1474472,1.7195601
1474713,1.807368
1476724,1.5706582
1485872,1.4094844
1490858,1.6556909
1498557,2.5453043
1517072,2.1720717
1519045,1.8370762
1524124,1.8447621
1524169,0.5127504
1527506,1.5749967
1534047,1.8208239
1535667,1.7196546
1537945,1.8766718
1545330,1.835103
1554410,1.899517
1554437,1.6777627
1559379,0.3833828
1559967,1.8636513
1566207,0.37128186
1578722,0.12868047
1589589,0.21227527
1594764,2.37793
1603585,1.7820523
1615248,2.181953
1619874,1.8673816
1627681,1.7158246
1641635,1.9599524
1642392,1.8217611
1646852,2.1560433
1651650,2.1889477
1653313,1.3177743
1664358,1.7362607
1685486,2.0612702
1687602,0.36390138
1689425,0.2225461
1706364,1.8783538
1720082,0.101964
1728025,1.6867089
1744729,0.28251314
1753089,1.9374356
1755030,1.9165394
1756607,2.279827
1759709,1.6553998
1773067,0.5711372
1781562,0.010675907
1784188,1.9964769
1789451,2.078269
1792670,1.9702635
1798285,0.20517111
1815460,2.6572425
1817178,0.18687773
1823030,1.9911981
1832742,1.8317027
1833420,0.0028643608
1839916,2.065622
1856370,1.9415288
1869385,1.9980011
1882418,1.9447744
1882477,1.8739345
1886486,1.8874166
1891609,1.7491975
1907401,2.1670885
1908916,1.8381269
1908922,1.7912312
1914315,0.094097376
1921086,1.8102593
1925134,2.59227
1934709,1.5366857
1954287,1.826098
1963808,1.9685926
1967089,1.7244456
1969728,1.8614373
1974981,0.28327012
1982436,2.0316954
1987858,1.6896608
1997149,1.6659002
2000194,2.1544142
2001656,2.2411385
2005533,1.8746262
2028630,0.067251205
2029695,0.21073914
2034074,2.0926862
2034623,1.7245276
2060968,1.9379079
2075338,1.4276235
2076518,1.7954094
2081584,1.9807365
2084947,1.4839101
2095436,0.030208588
